Plant,Water_source_type,Irrigation_frequency (times/week),Water_usage_efficiency,Frost_risk,TimestampPerWeek
rice,Recycled,4,1.19329329829592,95.6499853668432,2025-01-05
rice,Groundwater,4,1.75267168157997,77.2656936552309,2025-01-05
rice,Groundwater,1,3.0355410199031,18.1921678649788,2025-01-05
rice,Recycled,1,1.27334064585455,82.8187201732659,2025-01-05
rice,Recycled,3,2.57867108499521,25.4664989270553,2025-01-05
rice,Recycled,5,1.75361566686148,43.4263343004565,2025-01-05
rice,Recycled,1,3.17151412447631,50.0189706643151,2025-01-05
rice,River,4,3.17953857868453,18.0899623293917,2025-01-05
rice,Recycled,2,1.53098007871188,98.3774087720706,2025-01-05
rice,Groundwater,1,4.58685605824763,63.3357519820382,2025-01-05
rice,Recycled,3,1.47604916816772,0.803006838604791,2025-01-05
rice,Groundwater,2,4.95631149551836,79.2117690109142,2025-01-05
rice,Recycled,6,1.56904632866764,26.7241234502837,2025-01-05
rice,Groundwater,2,1.02973678479315,12.4516281096717,2025-01-05
rice,Groundwater,4,4.41052311556543,30.7124353570979,2025-01-05
rice,River,3,1.37456358025281,50.3988954917686,2025-01-05
rice,Groundwater,1,1.13592361502945,38.6830043855649,2025-01-05
rice,Recycled,5,1.08556589442628,77.8685812971585,2025-01-05
rice,River,6,2.29017855958401,83.1699178322367,2025-01-05
rice,Groundwater,6,1.30759422801679,49.8345871992316,2025-01-05
rice,River,2,1.47010865159108,3.07032559898251,2025-01-05
rice,Recycled,6,3.67231216190982,94.3818973341996,2025-01-05
rice,Recycled,1,2.46564650984392,15.4729595599828,2025-01-05
rice,Recycled,2,2.68687151072546,20.1404726544418,2025-01-05
rice,Groundwater,3,2.62931420661935,77.1518253378573,2025-01-05
rice,River,2,3.9887219236789,75.1235081605863,2025-01-05
rice,Recycled,2,2.78104525728615,80.5635334864927,2025-01-05
rice,River,1,4.59619934745191,29.0082479073366,2025-01-05
rice,Recycled,4,1.16903831040052,24.0791011898992,2025-01-05
rice,River,5,1.45717429815281,49.5167099692677,2025-01-05
rice,River,4,3.66728171464022,72.2921908188989,2025-01-05
rice,Recycled,3,3.85834906325029,87.2301261165543,2025-01-05
rice,Groundwater,6,1.2581960363365,11.0302812192828,2025-01-05
rice,River,6,3.46683644467019,41.0532914191343,2025-01-05
rice,River,5,3.478428457663,71.0673319980686,2025-01-05
rice,Recycled,6,4.93710699658765,87.4466945750931,2025-01-05
rice,River,6,3.86799401207321,97.6674286635448,2025-01-05
rice,Recycled,1,1.04951357784197,6.8526759252996,2025-01-05
rice,Groundwater,2,2.2083415694392,21.1463051911555,2025-01-05
rice,River,5,4.55869386151821,42.2270813972021,2025-01-05
rice,Recycled,2,3.60625018862561,6.11386405393461,2025-01-05
rice,River,3,1.08673956126985,47.308195054078,2025-01-05
rice,River,1,4.93721607065668,88.2559796343018,2025-01-05
rice,Recycled,2,4.65253729526481,36.9214730525656,2025-01-05
rice,Recycled,6,2.82582654003503,15.5308586972506,2025-01-05
rice,Groundwater,6,3.25770087242864,10.359632793076,2025-01-05
rice,Recycled,3,2.24305595236257,18.3342510849828,2025-01-05
rice,Recycled,6,2.38999155463702,3.00648669693276,2025-01-05
rice,Recycled,4,2.78003097711942,95.6222462825906,2025-01-05
rice,Groundwater,6,4.3387172636994,11.0321248279704,2025-01-05
rice,Recycled,6,1.17947642272458,40.4534715929369,2025-01-05
rice,River,2,3.34265844646985,41.2965902135926,2025-01-05
rice,Groundwater,3,3.89367545417468,62.3841117040145,2025-01-05
rice,Recycled,3,4.33102513302008,49.9982438800275,2025-01-05
rice,Recycled,4,1.7327687420102,36.9002576706677,2025-01-05
rice,Groundwater,2,3.6564828968883,78.3372724368921,2025-01-05
rice,Recycled,3,3.85738800584172,73.147252063962,2025-01-05
rice,River,6,3.99654454989516,83.2580659749375,2025-01-05
rice,Groundwater,2,4.98676280750248,10.4844981119267,2025-01-05
rice,River,6,1.56209050569926,32.6559319416869,2025-01-05
rice,Recycled,6,3.25641537314146,20.9269942701241,2025-01-05
rice,River,5,4.56201226450854,74.3506986801172,2025-01-05
rice,Groundwater,4,1.16780930882849,30.7643171425528,2025-01-05
rice,Recycled,1,1.87533769052844,77.9395267770814,2025-01-05
rice,Recycled,4,3.45402759315948,66.2433609830897,2025-01-05
rice,River,3,3.62578795891662,23.6562926217195,2025-01-05
rice,Groundwater,6,1.46002247680977,23.2573683664714,2025-01-05
rice,Groundwater,4,4.53720726868398,1.91166394788609,2025-01-05
rice,River,6,3.10022127946404,43.3879302021881,2025-01-05
rice,Recycled,4,2.53802594853043,58.5904499755487,2025-01-05
rice,Recycled,5,4.20863079922415,75.9139656062897,2025-01-05
rice,Groundwater,2,2.9699200803837,75.0650736396599,2025-01-05
rice,Groundwater,6,3.74816173920065,52.8501370391448,2025-01-05
rice,Groundwater,6,4.4651671054038,44.239371212362,2025-01-05
rice,Recycled,5,4.56168253302323,79.4798521508006,2025-01-05
rice,Recycled,2,4.97501359838573,3.71557273918546,2025-01-05
rice,River,6,3.76758595143531,62.4902273781972,2025-01-05
rice,Groundwater,3,4.36722422497827,48.7218039085375,2025-01-05
rice,Recycled,5,1.55299930936006,34.5612292649252,2025-01-05
rice,Recycled,4,2.51048630340934,91.7763950238438,2025-01-05
rice,River,2,3.80824808528093,65.2888596700758,2025-01-05
rice,River,2,3.1817733235644,33.1059116512589,2025-01-05
rice,River,4,4.5560145993171,57.3046216489789,2025-01-05
rice,Recycled,2,1.75356216866314,60.2672356419813,2025-01-05
rice,River,3,4.84365732296067,75.5609419638365,2025-01-05
rice,River,5,1.72600556893915,62.2328516529711,2025-01-05
rice,River,5,4.69763303207872,63.6038979706667,2025-01-05
rice,Recycled,1,3.74195832798863,79.1977037268606,2025-01-05
rice,Recycled,3,4.34921231566988,64.538839078915,2025-01-05
rice,Groundwater,5,1.1669671425606,52.1837386473255,2025-01-05
rice,River,2,2.2964730293855,57.5587785928833,2025-01-05
rice,River,4,2.56501894383924,98.1948507877819,2025-01-05
rice,Groundwater,2,2.51058877840969,12.0929050725363,2025-01-05
rice,River,4,2.20659365729564,1.98914367924162,2025-01-05
rice,Groundwater,3,2.7106079870976,31.9527203987062,2025-01-05
rice,Groundwater,1,2.49271849612301,48.1612803294429,2025-01-05
rice,Groundwater,5,3.77030171732339,90.8643242653377,2025-01-05
rice,River,1,1.464351869261,8.72926390901478,2025-01-05
rice,Groundwater,3,2.76116413869732,19.9188175750872,2025-01-05
rice,Groundwater,4,4.2822898225035,55.3562049288572,2025-01-05
maize,Groundwater,1,3.79589464524946,61.72390606857,2025-01-05
maize,Groundwater,1,3.00950093140172,6.80155674972702,2025-01-05
maize,Recycled,5,4.85950927979083,77.9288728634444,2025-01-05
maize,Groundwater,3,3.56547984744092,67.6533969529418,2025-01-05
maize,Groundwater,2,1.41134938154751,44.1488700190656,2025-01-05
maize,River,3,3.85572927073492,64.8923736123746,2025-01-12
maize,Groundwater,5,4.97745080647027,2.80050415108965,2025-01-12
maize,River,4,3.62013636543595,47.8627363876058,2025-01-12
maize,Groundwater,3,2.9723159844104,13.0211293645944,2025-01-12
maize,Recycled,2,1.37818792134633,62.7072728787425,2025-01-12
maize,Groundwater,4,1.19939496988906,66.2427721721167,2025-01-12
maize,River,5,1.21094536412804,31.9144560825201,2025-01-12
maize,Recycled,6,4.35779911949967,17.8672993641116,2025-01-19
maize,Recycled,2,3.57159172843227,67.7606958206528,2025-01-19
maize,River,2,4.79425679600563,52.4258198144774,2025-01-19
maize,River,5,3.83918664082035,14.9945661710851,2025-01-19
maize,Groundwater,5,1.41374161887344,64.7276424794666,2025-01-19
maize,Groundwater,5,4.25466347870679,4.41334308885687,2025-01-19
maize,Groundwater,5,2.47216310558053,57.636800630221,2025-01-19
maize,River,4,2.04522576754565,49.7390672309246,2025-01-26
maize,River,5,4.49138553863113,73.1745653582287,2025-01-26
maize,Groundwater,4,4.15963033386408,42.231173515543,2025-01-26
maize,Recycled,6,4.46644588440991,46.4752707966183,2025-01-26
maize,Groundwater,4,2.53246666774721,49.55472891383,2025-01-26
maize,Recycled,1,1.49217072970715,82.4424154490627,2025-01-26
maize,River,2,2.49872384759217,72.4483109238941,2025-01-26
maize,Recycled,3,4.23819509237336,61.8555209391771,2025-02-02
maize,Recycled,6,2.46885128418634,9.17437974581545,2025-02-02
maize,River,1,4.4349766893206,84.8327609721675,2025-02-02
maize,Groundwater,2,3.33334955790791,52.2110150302094,2025-02-02
maize,Recycled,1,3.89967051466298,76.4174534346706,2025-02-02
maize,River,1,1.72561395080858,97.2259982083189,2025-02-02
maize,River,2,1.96994839345822,20.8431751598841,2025-02-02
maize,River,6,1.47251035094374,88.0131865469599,2025-02-09
maize,Groundwater,3,2.3080612227485,46.7568887036209,2025-02-09
maize,River,2,1.96105369639903,76.8133234645131,2025-02-09
maize,River,4,1.38993690840842,97.4604229940466,2025-02-09
maize,Recycled,1,2.55645492677606,48.4501863215589,2025-02-09
maize,River,1,4.45085998060588,1.2925258913383,2025-02-09
maize,River,5,1.08007690889646,32.8517519576079,2025-02-09
maize,River,3,4.45407798232348,93.1186238383711,2025-02-16
maize,Recycled,4,3.41273900445973,10.7232181842157,2025-02-16
maize,Recycled,2,2.70493254576759,42.8209861229319,2025-02-16
maize,Groundwater,3,4.35693428795201,39.830284969298,2025-02-16
maize,Groundwater,1,2.77225656244888,1.83513077271981,2025-02-16
maize,Groundwater,1,1.16507609884182,30.93760591247,2025-02-16
maize,Recycled,2,2.42466974578497,46.6022956628057,2025-02-16
maize,River,1,2.62181597835522,60.1816839484099,2025-02-23
maize,Groundwater,5,2.9395764575831,87.9035943277818,2025-02-23
maize,Groundwater,1,2.12066516411502,37.652679919428,2025-02-23
maize,Recycled,6,2.08504325443237,25.7938795875133,2025-02-23
maize,Groundwater,2,4.42292832330629,8.23344645683534,2025-02-23
maize,Recycled,5,1.82195303352348,76.3918627729845,2025-02-23
maize,River,5,1.8470540287088,46.6474957265173,2025-02-23
maize,River,5,2.31174527230169,37.4020875281597,2025-03-02
maize,Groundwater,3,1.08045189033737,10.0910525074699,2025-03-02
maize,River,5,3.13351523284746,49.4863568060294,2025-03-02
